start_station_name,rides_all,rides_january,rides_jan14_16,first_ride,last_ride,first_lat,first_lng,pct_january,pct_jan1416
Racine Ave & 35th St,1960,44,1,2023-02-01,2024-01-31,41.82897083333334,-87.656564832,26.93877551020408,0.6122448979591837
Racine Ave & Belmont Ave,13469,240,1,2023-02-01,2024-01-31,41.87371633333333,-87.68022536666666,21.382433736728785,0.0890934739030366
Racine Ave & Congress Pkwy,9152,293,6,2023-02-01,2024-01-31,41.873949289,-87.68679498333333,38.41783216783217,0.7867132867132867
Racine Ave & Fullerton Ave,16108,359,6,2023-02-01,2024-01-31,41.883601657275165,-87.66383028,26.744474795132852,0.4469828656568165
Racine Ave & Randolph St,5019,124,3,2023-02-01,2024-01-31,41.882810354,-87.68021606666667,29.647340107591155,0.7172743574417214
Racine Ave & Washington Blvd,5312,140,4,2023-02-01,2024-01-31,41.882334232,-87.68074183333333,31.626506024096386,0.9036144578313253
Racine Ave & Wrightwood Ave,8096,203,3,2023-02-01,2024-01-31,41.90694833333333,-87.65933013,30.08893280632411,0.44466403162055335
Ravenswood Ave & Berteau Ave,4176,133,0,2023-02-01,2024-01-31,41.957329512,-87.67393916666667,38.2183908045977,0.0
Ravenswood Ave & Irving Park Rd,5754,168,3,2023-02-01,2024-01-31,41.916861833333336,-87.74485883333334,35.03649635036496,0.6256517205422315
Ravenswood Ave & Lawrence Ave,17706,663,0,2023-02-01,2024-01-31,41.889862883333336,-87.6800928,44.93392070484582,0.0
Rhodes Ave & 32nd St,8976,296,10,2023-02-01,2024-01-31,41.764829866666666,-87.735646129,39.57219251336898,1.3368983957219251
Richmond St & Diversey Ave,3483,50,3,2023-02-01,2024-01-31,41.93176043,-87.701492906,17.22652885443583,1.0335917312661498
Ritchie Ct & Banks St,11195,197,0,2023-02-01,2024-01-31,41.883601657275165,-87.667791843,21.116569897275568,0.0
Rockwell St & Eastwood Ave,3446,82,1,2023-02-01,2024-01-31,41.9433502470174,-87.73053848333333,28.554846198491003,0.3482298316889147
Rockwell St & Fletcher St,2161,38,0,2023-02-01,2024-01-31,41.93833433333333,-87.693145037,21.10134197130958,0.0
Rush St & Cedar St,15832,365,6,2023-02-01,2024-01-31,41.879114628,-87.64862671494483,27.665487620010108,0.45477513895907024
Rush St & Hubbard St,10236,348,7,2023-02-01,2024-01-31,41.88135176666667,-87.67352198333333,40.79718640093787,0.82063305978898
Rush St & Superior St,14836,541,16,2023-02-01,2024-01-31,41.85649776666666,-87.71590655,43.758425451604204,1.2941493664060393
Sangamon St & Lake St,12256,324,5,2023-02-01,2024-01-31,41.883601657275165,-87.680501819,31.723237597911226,0.489556135770235
Sangamon St & Washington Blvd,7942,178,3,2023-02-01,2024-01-31,41.882367492,-87.668944,26.894988667841854,0.45328632586250317
Sawyer Ave & Irving Park Rd,1389,37,0,2023-02-03,2024-01-31,41.953506947,-87.709532142,31.965442764578835,0.0
Sedgwick St & Huron St,15038,540,14,2023-02-01,2024-01-31,41.854018927,-87.717513323,43.09083654741322,1.117169836414417
Sedgwick St & North Ave,14783,328,9,2023-02-01,2024-01-31,41.8674606,-87.680501819,26.62517756882906,0.7305688967056755
Sedgwick St & Schiller St,5207,151,4,2023-02-01,2024-01-31,41.90657258,-87.640671134,34.79930862300749,0.9218359900134434
Sedgwick St & Webster Ave,14961,315,1,2023-02-01,2024-01-31,41.890109897,-87.680501819,25.26569079606978,0.08020854220974534
Seeley Ave & Roscoe St,6528,127,3,2023-02-01,2024-01-31,41.916861833333336,-87.74485883333334,23.345588235294116,0.5514705882352942
Shedd Aquarium,22556,246,7,2023-02-01,2024-01-31,41.858131666666665,-87.65010321666666,13.087426848732045,0.3724064550452208
Sheffield Ave & Fullerton Ave,24942,809,10,2023-02-01,2024-01-31,41.883601657275165,-87.69046723333334,38.9222997353861,0.4811161895597787
Sheffield Ave & Kingsbury St,13960,368,7,2023-02-01,2024-01-31,41.81359016666666,-87.69312383333333,31.63323782234957,0.6017191977077364
Sheffield Ave & Waveland Ave,20132,395,11,2023-02-01,2024-01-31,41.760866283333336,-87.655380726,23.544605603020067,0.6556725610967614
Sheffield Ave & Webster Ave,18283,359,5,2023-02-01,2024-01-31,41.875538166666665,-87.674988,23.562872613903625,0.3281737132855658
Sheffield Ave & Wellington Ave,16835,322,4,2023-02-01,2024-01-31,41.883174419,-87.69066023333333,22.95218295218295,0.28512028512028514
Sheffield Ave & Willow St,9841,215,8,2023-02-01,2024-01-31,41.883601657275165,-87.69635233333334,26.216847881312876,0.9755106188395488
Sheffield Ave & Wrightwood Ave,17417,343,4,2023-02-01,2024-01-31,41.879996657,-87.836727262,23.63208359648619,0.2755928116208302
Sheridan Rd & Argyle St,7589,151,1,2023-02-02,2024-01-31,41.916861833333336,-87.74485883333334,23.876663592041112,0.15812359994729214
Sheridan Rd & Buena Ave,11159,236,4,2023-02-01,2024-01-31,41.890072333333336,-87.68067216666667,25.378618155748722,0.43014607043641906
Sheridan Rd & Columbia Ave,3233,85,2,2023-02-01,2024-01-31,42.004333138,-87.66186383333333,31.549644293226105,0.7423445716053202
Sheridan Rd & Greenleaf Ave,2002,46,1,2023-02-01,2024-01-31,42.010166287,-87.662523508,27.57242757242757,0.5994005994005994
Sheridan Rd & Irving Park Rd,19004,501,8,2023-02-01,2024-01-31,41.8538097,-87.71515141666667,31.635445169438015,0.5051568090928226
Sheridan Rd & Lawrence Ave,6597,174,1,2023-02-01,2024-01-31,41.942109216666665,-87.67820968333334,31.65075034106412,0.18190086402910413
Sheridan Rd & Loyola Ave,4779,114,3,2023-02-01,2024-01-31,42.000660419,-87.661519885,28.625235404896422,0.7532956685499058
Sheridan Rd & Montrose Ave,15193,360,3,2023-02-01,2024-01-31,41.877773046,-87.68063283333333,28.434147304679787,0.23695122753899822
